Algorithm,Clients,Local Epochs,AUC Macro,AUC Micro,F1 Macro,F1 Micro,PR-AUC Macro,PR-AUC Micro,Time
FedAvg-IID,2,3,0.8612000667136668,0.8833412376810031,0.5513142324270282,0.5363795871131518,0.5098759310979298,0.566255812245694,110.77186131477356
FedAvg-IID,3,3,0.8403291710778099,0.8690346651022911,0.5247560976010978,0.4997660608241857,0.4793579117419492,0.5408729850628169,102.60944151878357
FedAvg-IID,4,3,0.8306481064563915,0.854526548901135,0.5050858925106354,0.4912602147385393,0.4554507268837293,0.5101769831213983,102.55411505699158
FedAvg-IID,5,3,0.8260567737598808,0.8518278644379722,0.5025411877573901,0.4769752787203102,0.44869619361900315,0.5001311286110193,103.24109101295471
FedAvg-IID,6,3,0.8158435030384887,0.840998363302086,0.48071726138378895,0.4518068309440444,0.42436199830954235,0.48872048878284874,103.45798778533936
FedAvg-IID,7,3,0.7987623924574282,0.8271403797333993,0.4757731572520968,0.4133697928787526,0.40825633258493016,0.4697551113507618,103.75178790092468
FedAvg-IID,8,3,0.7937974416558756,0.8126902519626764,0.4529656773384298,0.41890414287449884,0.3851851256071283,0.4289797622108187,103.60941243171692
FedAvg-IID,9,3,0.7779407243897793,0.8047027869564805,0.4439231666738336,0.3956514391933758,0.3716319755962275,0.4366151331095386,103.33488583564758
FedAvg-IID,10,3,0.7733083975146223,0.7965520241582337,0.429024196910517,0.3968657599053815,0.3658032751092648,0.40731340654432907,104.17522549629211
