Algorithm,Clients,Local Epochs,AUC Macro,AUC Micro,F1 Macro,F1 Micro,PR-AUC Macro,PR-AUC Micro,Time,size_alpha,labels_per_client,bias_strength
FedAvg-nonIID,2,3,0.85680615692397,0.8797673188882411,0.5410106696042782,0.5322304195543632,0.49866306291554935,0.5549897826800735,139.3337962627411,0.5,10,0.85
FedAvg-nonIID,3,3,0.5787989262563795,0.6020491616533452,0.2572055702626912,0.2519476520400308,0.16839165850444435,0.17775533413876832,108.68552875518799,0.5,10,0.85
FedAvg-nonIID,5,3,0.5285960697530271,0.5833341253447946,0.25949951234973156,0.22668872631388468,0.15573747884514164,0.1696745199467958,106.28001570701599,0.5,10,0.85
FedAvg-nonIID,8,3,0.6412640847531753,0.6197844840767385,0.259573617084087,0.3081927220979874,0.23386456727212093,0.22479595799040641,107.31056189537048,0.5,10,0.85
FedAvg-nonIID,10,3,0.7155570907866519,0.6888925368249305,0.34918058321569584,0.3637770897832817,0.31214294685109106,0.34202300416361825,107.53931188583374,0.5,10,0.85
