checkpoint,federated_global_loss,centralized_val_loss
1,0.7251171158167196,0.6803442787286176
2,0.6234906948181387,0.6288892588378241
3,0.5865657503604218,0.6052305322805541
4,0.5610997590248954,0.5772399108711647
5,0.5302349113699559,0.5639771918158932
6,0.5084237229794253,0.5460752501803913
7,0.4737818901873454,0.520942996146127
8,0.4845566612303741,0.5111049328813457
9,0.4850790232230837,0.5083164627908794
10,0.4732952345305568,0.5012934941576658
11,0.4826366371026301,0.49877574998274254
12,0.4680480955549862,0.4899126260460691
13,0.47480564222133115,0.4816329837897695
14,0.47255950863781787,0.4735240557998191
15,0.47140633072408356,0.4789212713469068
16,0.46558291070022184,0.4748159668285534
17,0.4656431675523802,0.47430648747997695
18,0.449182211576183,0.474364582572103
19,0.4478184443156234,0.46828795698806536
20,0.4511916955824655,0.4666863394546314
21,0.4588964898292585,0.45684007002192684
22,0.46035469898687537,0.45359895878178186
23,0.44136340623539483,0.4576368733451089
24,0.44558961183389445,0.4628956763577047
25,0.45218858929912037,0.45571910760605494
26,0.4373445255158127,0.46791949158419915
27,0.44555869964049644,0.4531102751987
28,0.4421212616244368,0.4534548716426694
29,0.44591707758369925,0.4515408694922805
30,0.4382403244398705,0.44268638997464776
31,0.44564194749346936,0.45327877708504716
32,0.4362915980110972,0.45800749329502843
33,0.42069577694122084,0.4484475876281071
34,0.42304720685804537,0.45195923763240764
35,0.43545019403037916,0.44368050760000155
36,0.4339484433302093,0.440904377648705
37,0.4216138543645276,0.43881456538931657
38,0.43092161064010054,0.4452539077218099
39,0.4311690012516455,0.4433306441933301
40,0.4232643607361939,0.4348196645109935
41,0.4207814962883522,0.43035408538938186
42,0.4292880058352198,0.4308147360480799
43,0.4161817316878628,0.43274364222841594
44,0.4210716764736645,0.4305456478297576
45,0.4177081141189482,0.42780517465803697
46,0.41724151315481833,0.42723346652057265
47,0.4193194423976504,0.4286798249074966
48,0.4171453206092376,0.42715061122227715
49,0.4115440370073638,0.4254413858654635
50,0.41684154746146557,0.4193706972145583
51,0.4125616546472212,0.42522277617844856
52,0.4138218636702717,0.4184988130419019
53,0.40530116528222704,0.42221095970123085
54,0.39978092044607094,0.42191987795082025
55,0.4030565459258123,0.4220947662501725
56,0.400625402425363,0.4218377979740418
57,0.4052614990801578,0.420936978254969
58,0.40701540441092005,0.41623422397794185
59,0.3989633730949796,0.41257751180492663
60,0.39558351024663924,0.4113854958118471
61,0.39337019959494496,0.40985478691838906
62,0.4014423265353585,0.4171734545859756
63,0.4003774308711901,0.4082367389559221
64,0.4110383097109913,0.4176012404784306
65,0.4066477682604342,0.41242864845546084
66,0.40031083767450354,0.41298814230994535
67,0.4003074040708907,0.41501800494714886
68,0.3905940715206711,0.41307616385845697
69,0.3883590075466308,0.4115533495530809
70,0.3986062372024676,0.4175233751211106
71,0.40393771762487285,0.4119313378525274
72,0.40012569170915346,0.4094468811405403
73,0.39900133695120354,0.41044089411398277
74,0.4003904141157106,0.4059095301720401
75,0.39986735768620063,0.40971849595770704
76,0.39653534961230713,0.40679880877726354
77,0.4020246914533082,0.4082980054879264
78,0.40344839976944713,0.4078066104774799
79,0.3927582783946349,0.40809323146740684
80,0.390253420654447,0.40489841074820054
81,0.39116267000469235,0.40021722261055986
82,0.39092135899666125,0.4022193398758827
83,0.3956533879123726,0.4040607922802482
84,0.38695726718757445,0.40706037877109685
85,0.3904205892882014,0.40237015496059203
86,0.40162886915248125,0.40367324932014215
87,0.394507515687881,0.4015555510744014
88,0.39419764012603953,0.40529574724684314
89,0.3965878773956752,0.4027457021976694
90,0.3958177770523287,0.40283767510338714
91,0.39298460549663844,0.40576690035881724
92,0.3994828770933773,0.392603299767957
93,0.3915588864960235,0.3979243927725591
94,0.3944514134637285,0.4024588315520704
95,0.3912641211718183,0.3965017494429718
96,0.39713804540112574,0.4024749297928974
97,0.39529327746581844,0.3992249566672938
98,0.38752054996507607,0.3988667857733083
99,0.38204504588335464,0.3972801545236628
100,0.3801285952513453,0.39691458860077783
