checkpoint,fl_auc_macro,fl_auc_micro,cl_auc_macro,cl_auc_micro
1,0.61275761789311,0.5563090778094423,0.6166037622592391,0.6034948699441713
2,0.709805406803633,0.7278677265445677,0.707177524361768,0.7095720425366805
3,0.7461667386943044,0.7621200485105156,0.7394543193480996,0.750260935802256
4,0.7776134885096756,0.8007180804688685,0.7652917198510026,0.7818938822777985
5,0.7983835121020685,0.824666511493231,0.784905994536659,0.8059709559576963
6,0.8122483714033454,0.8413494880968253,0.7984314859232559,0.8218871256569164
7,0.8217346594892266,0.8493340873804349,0.8085597771846446,0.833278755772104
8,0.8293668732041138,0.8570510029841426,0.8156572596441477,0.8407736205463617
9,0.8338384427891645,0.8602950408858434,0.8196861702416797,0.8457683850585087
10,0.8382878086424002,0.8674207920771377,0.8249455201688436,0.8500417497131553
11,0.84264533818914,0.8683612335702712,0.8291674974476408,0.8545332946045984
12,0.8463409689227749,0.871614077811533,0.8335385618358931,0.8576135929800783
13,0.8489582862507641,0.8749507134271666,0.8386070174452779,0.8624855188249667
14,0.8524071286960556,0.8770814872275193,0.8435099979810434,0.8665623583381907
15,0.8555168124310373,0.8814259564406651,0.8464220039852051,0.8695837174179976
16,0.8577835604950407,0.8824234585741098,0.8496513074034295,0.8716746608356124
17,0.8603645984146051,0.8821871874411851,0.8502489695451294,0.8716448927773228
18,0.8628383097232103,0.8868264055921131,0.8523108229739875,0.875389288600504
19,0.8654478394482108,0.8891954333393053,0.8545903230777256,0.8757487192394419
20,0.8674158259275155,0.8898569268231805,0.8551448862985453,0.8760294561908555
21,0.8694358701240941,0.8901622125010107,0.8573015961442689,0.8777265168174818
22,0.8725957491687412,0.8925677162693645,0.8602780017213363,0.880900069790032
23,0.8758033154121305,0.8939344733981146,0.8628336353099121,0.8827017154875673
24,0.8774407685269022,0.8967926829300744,0.8641821059315352,0.8839771749835941
25,0.8790385683287399,0.8970030117407597,0.8658972605461456,0.8861278248208235
26,0.8800728537787829,0.8982110677281868,0.866280252192713,0.8866838163344104
27,0.8815861195397787,0.8981248350902106,0.8675914361297091,0.8869999177755656
28,0.8822705154548696,0.8997513248758868,0.8678292119958921,0.8883139767587295
29,0.8835238972215613,0.9007227151443382,0.8697330196912977,0.8895416943836758
30,0.8849528431712429,0.9012509966814096,0.8707126212146434,0.8900329471750015
31,0.8855522811672778,0.9017982419176669,0.8704213112479011,0.8910273397574833
32,0.8859900917475226,0.9024643046928102,0.8712114761932495,0.8901657333642159
33,0.8872750589703952,0.9034309363599224,0.871590515295826,0.8908994011225327
34,0.8878516014461023,0.9047086751796136,0.8717248407238539,0.8918385752265572
35,0.8883550346197602,0.904580306985667,0.8728347539427103,0.892352933730185
36,0.8883806896634762,0.9035617511394434,0.8738981963417137,0.8925016006774716
37,0.8890010388570747,0.904421481158193,0.8744076127439508,0.8936059687260522
38,0.8898627110179563,0.9048586695782403,0.874113280418671,0.8942020582414335
39,0.8902404211152083,0.9054379553539188,0.8749708164944647,0.893764087491816
40,0.8903750742823887,0.9058758751646817,0.8754606137296819,0.8946934402805986
41,0.8917739553093683,0.9064858360143706,0.8752559475682837,0.8941250721459539
42,0.8911234871740246,0.9075624340242048,0.8761654517833364,0.8959472788939151
43,0.8923921362679517,0.9076768381295115,0.8771970702749516,0.8963213624364494
44,0.8930370614425659,0.908199654763815,0.8776293735740199,0.8960878921802358
45,0.8934278879810205,0.9086220062921649,0.8783767271550237,0.897019653540522
46,0.8936005377464915,0.9087172931214414,0.8787482526985646,0.8977415468206571
47,0.8938961865736402,0.9091647628269832,0.8802329031454829,0.8977743050657284
48,0.8938357767323376,0.9094523772840231,0.8810550394253532,0.8984752069761597
49,0.8953821987422959,0.9105196489218126,0.880590681448026,0.8983161941194591
50,0.8957095341267505,0.9102184117424854,0.8817419809480062,0.8990168983567239
51,0.8959807705911796,0.9107588076035288,0.8815720344786047,0.8989824408827032
52,0.8958304291313708,0.9111154426877255,0.8815718027664081,0.8996087188919932
53,0.8961687955312283,0.9117571179161112,0.8831512910420939,0.9004236766988459
54,0.8964681203952533,0.911640210964406,0.8835005379280243,0.9010805225824676
55,0.897204982073278,0.9124742959309471,0.8840598846488718,0.9009187385000308
56,0.8969819588365805,0.912236705709778,0.8838279954485947,0.9002987198875818
57,0.8973258087693233,0.9128416312156948,0.8840729878912675,0.9013254244299476
58,0.8968876107132844,0.9124036042052533,0.8835644800864526,0.9004999291227657
59,0.8978859318106488,0.9132262552996843,0.884335145110173,0.9013630066605594
60,0.8980828711016571,0.9132994894064097,0.8838425817629495,0.9008586139256413
61,0.8989777464319796,0.9140060120772983,0.8842470247739865,0.9012532243059381
62,0.8984120146311767,0.9139046924150411,0.8843214632242962,0.9002593912905734
63,0.8987071972541816,0.9137782013558935,0.8844181704781242,0.9011566480393919
64,0.8988340072029818,0.9141345399303408,0.8843135685920757,0.9012652048203817
65,0.8990676559407089,0.914279531677296,0.8844547500429509,0.9015416332570505
66,0.8998958763231871,0.9153599622657131,0.8849654196870113,0.9019030322645563
67,0.8994048896388993,0.9145471423701826,0.8853266572407523,0.9015887524576571
68,0.9003153786314476,0.9155153219702434,0.8859419997839477,0.9014397928020282
69,0.8998848457177742,0.9148630362545132,0.8865389798810588,0.9025954349891159
70,0.8998617048422475,0.9143201679583277,0.8863020937392434,0.9027742904303113
71,0.9005303048534811,0.9156461861680559,0.8864113264132663,0.9024180332059748
72,0.9003416502899805,0.9153561745437332,0.8869166925541973,0.9031324042618487
73,0.9000015730312713,0.9144879126470113,0.8872228580250561,0.9032692184219683
74,0.8996403993354529,0.91471079370376,0.8872192424343591,0.9029147645851341
75,0.9005437131286205,0.9154642477857469,0.88720911218037,0.9030532148708458
76,0.9008133107352946,0.9152237487279066,0.8882169524044812,0.903888572548466
77,0.901354153153377,0.9162533263737171,0.8876571871052283,0.9034905462237982
78,0.9013723791633071,0.9162702335116915,0.8880321187829692,0.9040780787719205
79,0.9012417087488079,0.9155766226999731,0.8882749492063945,0.9040599285738425
80,0.9019962200174833,0.9169008998652742,0.8890783302848035,0.9054524432764495
81,0.9025229973577917,0.9173635303423939,0.8897634973962034,0.9050207144372004
82,0.9026491314070806,0.9165598018919527,0.8898383676665071,0.9060193554721957
83,0.9025102312865253,0.9171028351692039,0.8903404370934099,0.9056665818572756
84,0.902485268244198,0.9168584313060468,0.8902418397790168,0.9052631712196688
85,0.9028170783246406,0.9174035378707003,0.8912883915624448,0.9054266742983715
86,0.9024935198196808,0.9172301663393084,0.8914979510462971,0.9059029928819793
87,0.9025043886066652,0.9174968532902832,0.8917018922407395,0.9062159277510661
88,0.9029209185307147,0.9176231010593799,0.8923475570569912,0.9066847940563025
89,0.9032247855309672,0.9171958571201628,0.8918111690333786,0.9064682286572188
90,0.9029709549134165,0.9176348131944863,0.8926062173282056,0.9072638707545935
91,0.9031394666118424,0.9178139339738931,0.8925291351866322,0.9067632725841879
92,0.9036105598129369,0.917261765155231,0.8919477865534229,0.9063781581186897
93,0.9036072617006309,0.9181732117962679,0.8921649842828674,0.905671989738938
94,0.9037298661240731,0.9182390035082805,0.8926097881970346,0.9063858004674136
