checkpoint,fl_f1_macro,fl_f1_micro,cl_f1_macro,cl_f1_micro
1,0.2638717068098373,0.2539209477331148,0.2910655967878553,0.26594394180587183
2,0.3351120633416105,0.31093279839518556,0.3552682078012181,0.32755676110106485
3,0.36559627006315826,0.3545877794164426,0.3867368793792791,0.3717150969612759
4,0.4026231220333647,0.3829527414824765,0.4215677488017023,0.39858975614533343
5,0.43273153756239935,0.4116524028966425,0.446245812787948,0.4175633228630622
6,0.45457283268547033,0.4317356941759099,0.45759860066056335,0.44877174107943335
7,0.4725740361519328,0.43929728807777596,0.472365009531019,0.45359858723465596
8,0.48532373432176584,0.45538308880856193,0.4798910063564509,0.47447381031368646
9,0.49349091697648473,0.46264377986197125,0.4955252275377188,0.4726135736619459
10,0.5005027077549379,0.4747430570741307,0.5022414696673068,0.48380273850606703
11,0.5072525621487066,0.47534357316087306,0.5081814292106253,0.48729458025744704
12,0.5117887754785807,0.47922755354962826,0.5124050007846078,0.49236454130688884
13,0.515602054487567,0.49269439839623735,0.5150210883924581,0.5066645634513762
14,0.522422749350649,0.49860953350828413,0.5195655379726377,0.5023545436855419
15,0.523753914570534,0.49549030896181157,0.5222140180411591,0.5125456566619024
16,0.5263506474045819,0.5059130701889111,0.5240790543642898,0.5147378832838774
17,0.5279221025552483,0.5187746241054917,0.5254957534489546,0.5262211322297158
18,0.531164297525778,0.5274117455669433,0.5308172189678779,0.5155011380582372
19,0.5388070550104591,0.5348913221114561,0.5345875659619224,0.5225636101776283
20,0.537934553042305,0.5424749163879599,0.5380818282733759,0.5246008471814922
21,0.5373550564721251,0.5445843828715364,0.5388865580131215,0.5272334704851916
22,0.5408158860485868,0.5497609922053314,0.5372071746425384,0.534155281572809
23,0.5458378513756945,0.5529914891815217,0.5415157608306828,0.5271147913622342
24,0.5497878689434329,0.5640579457954495,0.5393646599861733,0.54109041994199
25,0.5519432910814716,0.5676461651981423,0.5380052427270277,0.5419688255397184
26,0.5538235357128496,0.5658099016732793,0.5412576642770252,0.5360120040013338
27,0.5561098606428633,0.5683381646692338,0.5417896201444318,0.547625138569114
28,0.5622653590381229,0.5670619461449549,0.5424378947405918,0.5456779661016948
29,0.5560041505925726,0.5706301034889306,0.5387352551493778,0.5571552471812664
30,0.561808920519735,0.5699178953703306,0.5460196139575206,0.5469949251352598
31,0.5610470820532951,0.5734895514558013,0.5462180754157401,0.5482456140350876
32,0.5649832172729116,0.5793181917640365,0.545639199023282,0.5511141642694602
33,0.5705367333943782,0.5729068673565382,0.5456058153740186,0.5520601453231971
34,0.5692256939127153,0.5801487117413108,0.5479245384432114,0.5464444536802294
35,0.5673532977398872,0.5802863056226285,0.5500931425397064,0.5562395075545606
36,0.5692745372938501,0.5838016816973816,0.5506896625724943,0.5615507766864264
37,0.5694537401726136,0.5902826855123675,0.551995586273345,0.5579980288811758
38,0.5736231802843338,0.5871261948610015,0.5544929344915818,0.5624238203029776
39,0.5738709726478672,0.5853444493198772,0.5554699934197727,0.5643456704214326
40,0.5717135274595158,0.5867407701468837,0.5593171186642247,0.566167317680388
41,0.5752398106886945,0.5871872134154329,0.5618264748015176,0.5612479754496633
42,0.574157527691362,0.5887784715504353,0.5634168404352358,0.5606219794074385
43,0.5772545875277099,0.5929152406773635,0.5643218930555136,0.5660053250880357
44,0.5795775629899965,0.5960259025991307,0.5646421201762304,0.5684845871955163
45,0.5796347464296344,0.5938942137025205,0.5671680097215336,0.5691432482142094
46,0.5805257838499404,0.5965863632322873,0.5662982685203892,0.568172224567328
47,0.582543206885559,0.593377943860259,0.5637905774606143,0.5698461018095721
48,0.5820378650115046,0.6021793497677742,0.5678363889270418,0.571808510638298
49,0.5861554573891803,0.6062427123508835,0.5661784700116858,0.5669933953136174
50,0.586578278232298,0.5979353920085432,0.5646367944572666,0.5706625151357897
51,0.5871440761670796,0.6045263440379283,0.5668038908454317,0.5689655172413793
52,0.5870672170677539,0.5981978751064688,0.5648452713094875,0.5738005023628081
53,0.5891662362973081,0.6077961967568544,0.5697446395005579,0.5664570230607967
54,0.588632231171744,0.6191369606003753,0.5685547887117043,0.5734690386589121
55,0.5906829348582427,0.6040322221727713,0.5649727894723027,0.5702507437314067
56,0.5898537719847768,0.6118451025056948,0.5694039811165703,0.5699140768605994
57,0.5887699627079032,0.6068000358840944,0.5673574168934511,0.5766382259950626
58,0.5873874527739139,0.6058036305816881,0.5704520877128896,0.5710610932475885
59,0.5901550229890967,0.6059028543697887,0.5712338287666,0.5768798131002856
60,0.5930710364441858,0.6095187070274132,0.5708938190236346,0.5828266480031494
61,0.5928609710528672,0.6142940463905963,0.570886801769127,0.5805913836974642
62,0.5928709838956892,0.6050390189520625,0.5736693660243027,0.5825975063229357
63,0.5931789837861408,0.6065834881868861,0.5701907008368399,0.579324107413995
64,0.5934920060566476,0.6056044977643986,0.5698938081486854,0.5773509473318269
65,0.5917306408272536,0.61910039715526,0.5723778664207201,0.576760111277552
66,0.5903031386773068,0.6185136423480274,0.5700539064829458,0.5793073593073592
67,0.594776310011405,0.6200474712433814,0.5682938196641442,0.5835758023190168
68,0.5983550752702244,0.6172728093132388,0.5703334895464972,0.5804625234092592
69,0.5970238220129865,0.6192702603593692,0.5744781790077177,0.5717429018744975
70,0.5977741057464958,0.6176819800895059,0.5725541283337634,0.5810065494657015
71,0.5985077918070608,0.6284875183553598,0.5749980087202944,0.5861813102876349
72,0.5964496501981843,0.6212244897959185,0.5730242936795256,0.5866002360036712
73,0.5957246294183912,0.621047363392329,0.5741676808015064,0.5904221802142405
74,0.5967718846517299,0.6194182712003278,0.5731014540006998,0.5900820549411345
75,0.5987990810007182,0.616394040187725,0.5767747156588352,0.5916505639689031
76,0.5968813333615902,0.6191145148864821,0.5763905596951434,0.5869536798989062
77,0.5961049376854456,0.6188035738582248,0.5751420365933099,0.5889228317173596
78,0.5980175822363717,0.6184579228057488,0.5779059336857849,0.592871553463349
79,0.6000412905657755,0.6220665817718756,0.5790104716118918,0.5878288599521659
80,0.6005813690605244,0.6232983097304705,0.5740018909327134,0.5917829865683434
81,0.6007599827673451,0.6246807734403501,0.5778920783602375,0.590875419408253
82,0.6034521982186044,0.6216339989008975,0.5752728117598339,0.5908105956750542
83,0.6022245480302996,0.6223960702265078,0.5770721195660207,0.5916579039607431
84,0.6020917515939396,0.6275202081204125,0.5783124153503775,0.5931579180902516
85,0.6011168037400071,0.6270250536211381,0.5796015802587091,0.5934833547017995
86,0.6034103836309094,0.6202299467632979,0.5806690184791705,0.59086926042762
87,0.6012056272319634,0.6261768506553443,0.5827499857073871,0.5979848195658929
88,0.6031881585293887,0.6282378017700756,0.5806978957138419,0.5962699822380105
89,0.6002579284800065,0.6265886440522995,0.579400525179882,0.5974792169482435
90,0.6036828203406163,0.6254434870755196,0.5817392769074152,0.6040298641719889
91,0.6016450907629023,0.6259758046108195,0.582519050746465,0.6026319359652693
92,0.6034477006972881,0.6244061354689834,0.586259948153857,0.6035999821340836
93,0.6032371860925421,0.6326711022193272,0.5842078902904345,0.6016551107134869
94,0.605808252420424,0.6248387691173761,0.5807511603469877,0.6049567305514022
95,0.6044523058442376,0.6334113242863827,0.5859386920554951,0.6040377580055102
96,0.604558667245111,0.6271465107782244,0.5838267611286162,0.6054258558641691
97,0.6037591766098684,0.6271256739941933,0.5851039178071106,0.6036705461056402
98,0.6041553630443869,0.6286369894446994,0.5866296653714587,0.6112189178212012
99,0.6052211345637858,0.6302528735632184,0.5843537981234087,0.6104033482040196
100,0.6042229100455919,0.6270353861548258,0.5876939599581981,0.6104130886739583
