round,client,local_loss
1,0,1.2620348510973984
1,1,1.3260721932965165
1,2,1.1040523167451222
2,0,1.1981975396308635
2,1,1.1232043630060027
2,2,1.0671564256648223
3,0,1.2156558554867904
3,1,0.8859080147480263
3,2,1.0852715103535189
4,0,1.1019219098529882
4,1,0.8863104133088798
4,2,0.9531261073135667
5,0,0.9203510246963964
5,1,0.8698631690661696
5,2,0.8259917422901425
6,0,0.8544568532974356
6,1,0.8246545734322246
6,2,0.8734696531440649
7,0,0.7578855855721567
7,1,0.7525295260132235
7,2,0.7818781824161609
8,0,0.8694099551791118
8,1,0.8243335395131041
8,2,0.9323609180479414
9,0,0.8378433117601607
9,1,0.9024568415822132
9,2,0.8101921917001407
10,0,0.795022335820314
10,1,0.7956817992163054
10,2,0.7758288801461458
11,0,0.750097421524115
11,1,0.7971403148879899
11,2,0.7655787535073857
12,0,0.8407781958492059
12,1,0.8796285402413238
12,2,0.7169364922742049
13,0,0.6627658834595543
13,1,0.740568686203538
13,2,0.7154717502887878
14,0,0.7179156704380228
14,1,0.6746062065551386
14,2,0.654676329108576
15,0,0.7102476889412436
15,1,0.8536726632977233
15,2,0.746398535005024
16,0,0.7198652805527672
16,1,0.7865491320039419
16,2,0.7433743142067558
17,0,0.9368714430255608
17,1,0.7331207449602729
17,2,0.7429396875839059
18,0,0.6218112332549774
18,1,0.8299877341699731
18,2,0.7141208637474725
19,0,0.9138241535073354
19,1,0.7412260619134586
19,2,0.886819171095267
20,0,0.763831001183846
20,1,0.6932814051528625
20,2,0.7664645167698877
21,0,0.7803891747010251
21,1,0.7258278980763518
21,2,0.5847357482763215
22,0,0.6946291644560794
22,1,0.7260794157436227
22,2,0.7045543740736321
23,0,0.809492641888145
23,1,0.6875773251845555
23,2,0.6116218090843824
24,0,0.6145670215195665
24,1,0.8282745917979627
24,2,0.6314111058889992
25,0,0.651855355836451
25,1,0.9094223474152385
25,2,0.8426832816144452
26,0,0.7736317896760172
26,1,0.7513896911700858
26,2,0.7010052144382563
27,0,0.6987761145768067
27,1,0.6679198149597162
27,2,0.5486113224447602
28,0,0.6817622850773235
28,1,0.7661965463395394
28,2,0.7542042555142608
29,0,0.7129804651170141
29,1,0.647242480085834
29,2,0.8013880113305317
30,0,0.6570758268128459
30,1,0.6992927998178364
30,2,0.6897891188671605
31,0,0.6938883929593592
31,1,0.7236517838815993
31,2,0.7271622886622532
32,0,0.5923935518755267
32,1,0.6087125081733307
32,2,0.6203112153274317
33,0,0.5395429067960423
33,1,0.6388846371410524
33,2,0.7006363512660998
34,0,0.6715338910391762
34,1,0.5982992861321305
34,2,0.7109256888046447
35,0,0.564667335473415
35,1,0.656986735790201
35,2,0.7242717524157423
36,0,0.6180513904171272
36,1,0.7479510924461132
36,2,0.437379865963012
37,0,0.753062783235477
37,1,0.655328040400739
37,2,0.6916297847260203
38,0,0.5494254774672703
38,1,0.5152361041789545
38,2,0.6447510566435651
39,0,0.6277678047534492
39,1,0.7363357531947686
39,2,0.6692062722746697
40,0,0.5479396839967619
40,1,0.5659410265170256
40,2,0.6197690987980847
41,0,0.7861582129552133
41,1,0.6873854570466038
41,2,0.5969671136761705
42,0,0.902731167866538
42,1,0.5764074457760023
42,2,0.6509427272652586
43,0,0.7095783800047097
43,1,0.5403875291347503
43,2,0.7119392438556275
44,0,0.7632028828153853
44,1,0.6747075235317734
44,2,0.6727161236527738
45,0,0.6575262343272981
45,1,0.6579822760428685
45,2,0.6841302839004331
46,0,0.8185448789958739
46,1,0.5889664431529886
46,2,0.5821628364485999
47,0,0.709722373286883
47,1,0.6581620702251573
47,2,0.8640354398306873
48,0,0.49802119442003057
48,1,0.6606096011093434
48,2,0.630431845214011
49,0,0.5504410217680399
49,1,0.6108339425992658
49,2,0.6224571690678649
50,0,0.49195151576772334
50,1,0.675177281495622
50,2,0.6590669376124343
51,0,0.4625701284346481
51,1,0.6340608693503171
51,2,0.5024417399904794
52,0,0.5794474175593092
52,1,0.8694024542708169
52,2,0.5262237123089532
53,0,0.7359523053524187
53,1,0.5548605635296553
53,2,0.6094537064523643
54,0,0.6900599967420566
54,1,0.9433676229992551
54,2,0.5948328878373529
55,0,0.5903731049649004
55,1,0.7725991170592811
55,2,0.6087248671750745
56,0,0.694325831329657
56,1,0.6627725998005617
56,2,0.8288583461314233
57,0,0.5200393965505322
57,1,0.6592019033810014
57,2,0.5215758157658598
58,0,0.6783425932688018
58,1,0.6649969594027189
58,2,0.7610037630009983
59,0,0.616920534396777
59,1,0.6538518996369641
59,2,0.8205699719788714
60,0,0.5770323298401976
60,1,0.5790609524330562
60,2,0.6470051022318917
61,0,0.6850307542344348
61,1,0.7695353505804258
61,2,0.603500527148135
62,0,0.6209184520546761
62,1,0.5908271118995788
62,2,0.6735499111583664
63,0,0.5291986538847818
63,1,0.5580319749005138
63,2,0.6835050937517857
64,0,0.6324933433491323
64,1,0.6869377031032105
64,2,0.5459374952802641
65,0,0.5899003077588147
65,1,0.7394416130881976
65,2,0.5632036196740551
66,0,0.60713476151021
66,1,0.7394138758917859
66,2,0.5702977571232866
67,0,0.6525530283217732
67,1,0.657189562630237
67,2,0.4770311228388972
68,0,0.6151249225096156
68,1,0.5861408493229571
68,2,0.46906244941262737
69,0,0.6310878128651529
69,1,0.608250170919825
69,2,0.6057903385265834
70,0,0.71232016647545
70,1,0.7481144638775902
