round,train_loss
1,1.3879503853512851
2,1.1288284559876411
3,1.0287745362543623
4,0.9640875501652703
5,0.9161997451148017
6,0.8807549430423474
7,0.8510898037156195
8,0.8316693303861958
9,0.8166603343819606
10,0.8037846985555978
11,0.7951302830675703
12,0.7864773726736245
13,0.7793804354007267
14,0.7724564654286166
15,0.7653595582102422
16,0.7608922409875469
17,0.7556054139424382
18,0.7510538833171821
19,0.7466556617467252
20,0.7429729563462335
21,0.7410406841983779
22,0.7348136271753799
23,0.7325303190200513
24,0.7312774596255941
25,0.7262677068404768
26,0.7257035926886621
27,0.7244519054396168
28,0.7217036013711349
29,0.7175231552992618
30,0.7184788047951699
31,0.7148332058183032
32,0.7147767125054534
33,0.7104596363329984
34,0.7073754722160979
35,0.7081728277529574
36,0.7023383761302672
37,0.7020181688279261
38,0.7028324124101255
39,0.6995432740612226
40,0.6965541841254123
41,0.694754768482698
42,0.690936957802182
43,0.6912370247990267
44,0.6910358588443649
45,0.6856874291618739
46,0.6857384197693281
47,0.6821546504335133
48,0.6827642251975363
49,0.6843117622469028
50,0.6796679091372377
51,0.6827741133601835
52,0.6803277525270823
53,0.6794801461766462
54,0.67730264697869
55,0.6744608295105274
56,0.6752245972525631
57,0.6735829140615756
58,0.6720805294176978
59,0.6692307115892542
60,0.6686072631414252
61,0.6685802759103092
62,0.670343651119913
63,0.6674869012167391
64,0.6661435171471617
65,0.6667629261070028
66,0.6637467832817804
67,0.665555241338887
68,0.6631173504844305
69,0.6643754930423963
70,0.664181606619783
71,0.6627911304333876
72,0.6601658746255755
73,0.6582166237883988
74,0.6563470363288902
75,0.6573878080308716
76,0.6554470544273187
77,0.6530671972092613
78,0.6543084251835009
79,0.6559834984731324
80,0.6528447168221421
81,0.6513558024199188
82,0.6504900898877685
83,0.6498641282674679
84,0.6500895195065127
85,0.6485109421259055
86,0.6481611486413626
87,0.6457810524799237
88,0.6450310090773138
89,0.6457962917355674
90,0.6449518953216592
91,0.643929165328213
92,0.6420494360123286
93,0.642982102735415
94,0.6431446351720315
95,0.6448105107589385
96,0.6402798553575056
97,0.6408006664095506
98,0.6404772755041509
99,0.6393320232938491
100,0.6387689655104357
