split,clients,method_name,method,base_algo,mu,server_distill,local_epochs,rounds,kd_alpha,kd_temperature,server_distill_steps,server_distill_lr,f1_macro,f1_micro,pr_auc_macro,pr_auc_micro,auc_macro,auc_micro,best_f1_micro,best_thr,time_sec,size_alpha,labels_per_client,bias_strength
noniid,2,Baseline_FedAvg,baseline,FedAvg,0.0,False,3,100,0.7,2.0,,,0.6145260613275649,0.6387687611294836,0.5923054727082873,0.6457134884227003,0.9020988161707968,0.9188989543728796,0.6387687611294836,per-label,227.4774374961853,0.5,10,0.85
noniid,3,Baseline_FedAvg,baseline,FedAvg,0.0,False,3,100,0.7,2.0,,,0.611009834635191,0.6166870166870166,0.5862841795882341,0.634924876190688,0.8988424019484376,0.9153071177996112,0.6166870166870166,per-label,212.3229551315308,0.5,10,0.85
noniid,4,Baseline_FedAvg,baseline,FedAvg,0.0,False,3,100,0.7,2.0,,,0.6182363324563929,0.6256443560498437,0.5851445887687262,0.6381664275969074,0.8993825369221483,0.9165178827332926,0.6256443560498437,per-label,212.5099349021912,0.5,10,0.85
noniid,8,Baseline_FedAvg,baseline,FedAvg,0.0,False,3,100,0.7,2.0,,,0.6141413163958171,0.6194314126468582,0.5871053355227557,0.6439851426409429,0.8974707632227823,0.9172997114293836,0.6194314126468582,per-label,215.66419434547424,0.5,10,0.85
noniid,10,Baseline_FedAvg,baseline,FedAvg,0.0,False,3,100,0.7,2.0,,,0.6060364734258957,0.6024191324218904,0.570037227360483,0.6233867756280521,0.8927997203478532,0.9113946224303344,0.6024191324218904,per-label,217.6146879196167,0.5,10,0.85
noniid,12,Baseline_FedAvg,baseline,FedAvg,0.0,False,3,100,0.7,2.0,,,0.5936780125563463,0.5861865174737008,0.5617175712941648,0.6036890280408965,0.8873210483047339,0.9062495384164532,0.5861865174737008,per-label,219.96838784217837,0.5,10,0.85
noniid,15,Baseline_FedAvg,baseline,FedAvg,0.0,False,3,100,0.7,2.0,,,0.5822577910436457,0.5776646920844433,0.5467924162595871,0.5926910683639756,0.8806645942332224,0.9012908184160576,0.5776646920844433,per-label,218.7658762931824,0.5,10,0.85
noniid,20,Baseline_FedAvg,baseline,FedAvg,0.0,False,3,100,0.7,2.0,,,0.5844792703870068,0.5840144608613643,0.5513314738698101,0.5978738998504485,0.8838485256181579,0.9026160130400334,0.5840144608613643,per-label,221.61466336250305,0.5,10,0.85
noniid,2,Opt3_FedAvg_Tuned,option3,FedAvg,0.0,False,3,100,0.7,2.0,,,0.6229154821636572,0.6516863514262569,0.6008809824725109,0.6524908631605604,0.904701588389117,0.920872130163954,0.6516863514262569,per-label,512.0081036090851,0.5,10,0.85
noniid,3,Opt3_FedAvg_Tuned,option3,FedAvg,0.0,False,3,100,0.7,2.0,,,0.6284898711741814,0.6393271121898146,0.6035772317929715,0.6563712460977094,0.9040810195191774,0.922253799968705,0.6393271121898146,per-label,514.9002013206482,0.5,10,0.85
noniid,4,Opt3_FedAvg_Tuned,option3,FedAvg,0.0,False,3,100,0.7,2.0,,,0.6178084123974612,0.632652208432577,0.5981283048415926,0.6544698198312865,0.9015546874918594,0.9200508734308048,0.632652208432577,per-label,513.5996949672699,0.5,10,0.85
noniid,8,Opt3_FedAvg_Tuned,option3,FedAvg,0.0,False,3,100,0.7,2.0,,,0.6144919982368984,0.6165998199230581,0.5902924489537491,0.6414057661818793,0.8960115939315498,0.9161520513306444,0.6165998199230581,per-label,527.5467004776001,0.5,10,0.85
noniid,10,Opt3_FedAvg_Tuned,option3,FedAvg,0.0,False,3,100,0.7,2.0,,,0.5903307707203332,0.5818975598347237,0.5526740788443799,0.6107064598228111,0.8824712220746271,0.9057777588083092,0.5818975598347237,per-label,529.4230690002441,0.5,10,0.85
noniid,12,Opt3_FedAvg_Tuned,option3,FedAvg,0.0,False,3,100,0.7,2.0,,,0.6029777107517688,0.6045112781954888,0.5738049857318088,0.6276141335275934,0.8894159999013301,0.9132819242871104,0.6045112781954888,per-label,533.6743814945221,0.5,10,0.85
